name,energy_cost,card_type,logic,tooltip,credential_abuse,malware,ransomware,insider_threat,data_exfiltration,ddos_attack,phishing,web_application_attack,description,real_world,hint
Review Logs,1,Investigation,Reveal 1 Clue,Examine security logs for suspicious activity,0,0,0,0,0,0,0,0,"Scans activity records for logins, file access, and system changes that don't belong. Works against almost every threat. If nothing shows up, you're probably chasing the wrong threat.",SolarWinds (2020): attackers hid in US government networks for nearly a year. A single suspicious log entry finally exposed them.,"Useful against all threat types. If it reveals nothing, you may be facing the wrong threat."
Threat Intelligence Lookup,1,Investigation,Reveal 1 Clue and gain 5 Containment,Compare findings against known threats,0,0,0,0,0,0,0,0,"Cross-references the attack against a database of known threats. If it matches, you instantly know what you're facing and how others stopped it. Small containment bonus makes it efficient even on a tight energy budget.","NotPetya (2017): after Russian military malware hit globally, threat intel databases identified its origins and tactics within days.",Useful against all threat types. The containment bonus makes it worth playing even when you already have a lead.
Packet Capture,2,Investigation,Reveal 2 Clues,Inspect network traffic for suspicious communications,0,0,0,0,0,0,0,0,Records raw network traffic. Costs more but reveals two clues at once. Use it mid-battle when one clue isn't enough to confirm the threat.,"WannaCry (2017): a researcher captured ransomware traffic, found it pinged an unregistered domain before activating. Registering it for a few dollars stopped the attack worldwide.",Useful against all threat types. Best value mid-battle when a single clue won't confirm the threat.
Analyze Email Header,1,Investigation,Reveal 2 Clues,Inspect sender and routing information,0,0,0,0,0,0,0,0,Reads the hidden routing data in a suspicious email. Fake senders leave traces that are nearly impossible to hide. Two clues for one energy makes this the best-value Investigation card against email threats.,DNC hack (2016): investigators traced the attack to Russian military unit APT28 purely from routing metadata buried in phishing emails.,"Strong counter: Phishing, Credential Abuse. Two clues for one energy - best efficiency in the Investigation category against email-based threats."
Threat Hunt,2,Investigation,Reveal 3 Clues,Proactively search for hidden threats,0,0,0,0,0,0,0,0,Actively searches every corner of the system instead of waiting for an alarm. Most powerful Investigation card: reveals three clues at once against any threat. Use it when you can't afford to guess wrong.,Bangladesh Bank (2016): proactive hunters inside the SWIFT network caught the heist mid-operation. $81M was already gone but further losses were stopped.,Useful against all threat types. The single most powerful Investigation card - use it when you cannot afford to guess wrong.
User Activity Review,1,Investigation,Reveal 1 Clue,Review user actions and access patterns,0,0,0,0,0,0,0,0,"Checks what staff have been accessing on their machines. Cheap, fast, works against any threat. Most valuable when the problem is coming from inside rather than outside.",US defence contractor: behaviour analytics caught classified files being opened late at night by someone with no business reason to access them.,"Strong counter: Insider Threat, Data Exfiltration. Effective against all threats, but shines brightest when the attacker is already inside."
IOC Search,1,Investigation,Reveal 1 Clue and gain 5 Containment,Search for known indicators of compromise,0,0,0,0,0,0,0,0,"Searches for specific warning signs linked to known attacks, like a blood test for a particular illness. Gives a clue and containment simultaneously. Strong when you're falling behind on containment.","Kaseya (2021): published attack indicators let security teams identify and isolate infected systems across 1,500 businesses quickly.",Useful against all threat types. Play it when you are falling behind on containment - the dual effect is the point.
Endpoint Investigation,1,Investigation,Reveal 1 Clue,Inspect devices for suspicious behavior,0,0,0,0,0,0,0,0,Examines one specific device at the centre of the problem. Cheap and reliable against any threat. Good opening move when you don't know where the trouble started.,Sony Pictures (2014): a single compromised laptop revealed the full breach scope. Attackers had been inside for over a year.,Useful against all threat types. Good opening move when you have no idea where the attack started.
DNS Analysis,1,Investigation,Reveal 1 Clue,Review domain lookup activity,0,0,0,0,0,0,0,0,Checks which external addresses the network is contacting. Attackers use DNS to send instructions to malware and smuggle data out quietly. Especially sharp against malware and data theft.,FireEye breach (2020): attackers communicated with planted malware by disguising commands as ordinary DNS lookups.,"Strong counter: Malware, Data Exfiltration. Effective against most threats, but particularly sharp when the attacker is using the network to communicate or exfiltrate."
Forensic Analysis,2,Investigation,Reveal 2 Clues and gain 5 Containment,Perform detailed examination of compromised systems,0,0,0,0,0,0,0,0,"Full crime-scene investigation: fingerprints, timeline, entry point. Expensive but gives two clues and a containment boost at once. Worth it when you need to confirm and act in the same turn.",Target breach (2013): forensics traced 40 million stolen cards back to credentials belonging to a third-party HVAC contractor.,Useful against all threat types. Worth the energy cost when you need to confirm the threat and act on it in the same turn.
SIEM Platform,2,Monitoring,Gain 1 Clue each turn,Centralize and analyze security events,0,0,0,0,0,0,0,0,Central alarm system that collects data from every part of the network and flags anomalies automatically. Play early: the clue it generates every turn compounds into a massive advantage by mid-game.,Colonial Pipeline (2021): SIEM logs let investigators reconstruct exactly how attackers moved through the network after the ransomware hit.,Useful against all threat types. Play as early as possible - the clue it generates every turn compounds quickly.
EDR Monitoring,2,Monitoring,Gain Detection each turn,Continuously monitor endpoints,0,0,0,0,0,0,0,0,Watchdog on every machine that flags the moment an application behaves abnormally. Generates detection every turn and pairs well with Investigation cards to identify the threat faster.,3CX attack (2023): CrowdStrike caught malware hidden in a legitimate business phone app by detecting unusual background processes spawned by trusted software.,"Strong counter: Malware, Ransomware. Generates detection every turn. Pairs well with Investigation cards to close in on the threat faster."
Continuous Logging,1,Monitoring,Gain Detection each turn,Record security-relevant activity,0,0,0,0,0,0,0,0,"Records everything that happens on the network permanently. Without it you're investigating a crime scene with no witnesses. Low cost, stackable; play early for steady detection every turn.",Home Depot (2014): investigators reconstructed a months-long attack across 56 million stolen cards only because comprehensive logs existed.,"Useful against all threat types. Play early. Without logs, every other Investigation card is working blind."
Threat Intelligence Feed,1,Monitoring,Investigation cards reveal +1 Clue,Receive updated threat information,0,0,0,0,0,0,0,0,"Live global attack data feed. Boosts every Investigation card you play for the rest of the game regardless of threat type. The earlier you play it, the more value it compounds.",Log4Shell (2021): CISA's automated threat feed let over 200 organisations patch within 72 hours of the critical flaw being disclosed.,Useful against all threat types. Play it as early as possible - it multiplies the value of every Investigation card you play after it.
User Activity Monitoring,2,Monitoring,Reveal insider-related clues automatically,Monitor user behavior,0,0,0,0,0,0,0,0,"Continuously tracks file access, app usage, and working hours across all staff. Auto-reveals insider clues. Essential against Insider Threats; offers little against outside attackers with no behavioural trace.",US intelligence contractor: automated monitoring flagged thousands of classified documents being quietly hoarded over several months.,"Strong counter: Insider Threat, Data Exfiltration. Limited value against external threats that leave no behavioural trace."
Network Monitoring,2,Monitoring,Gain Detection each turn,Monitor network activity,0,0,0,0,0,0,0,0,"Watches all traffic flowing in, out, and across the network in real time. Steady detection every turn. Strongest against traffic-based attacks and lateral movement.",SolarWinds investigation: Mandiant used network flow analysis to track attackers moving through more than 100 separate systems.,"Strong counter: DDoS Attack, Data Exfiltration, Malware. Steady detection every turn. Best when the threat moves across the network."
DLP Monitoring,2,Monitoring,Reduce Breach gain from data theft,Monitor sensitive data movement,0,0,0,0,0,0,0,0,Scans outbound transfers and emails for sensitive data going somewhere it shouldn't. Passively reduces breach gain from data theft each turn. Little value against threats that don't move data out.,European bank: DLP flagged an employee who had been uploading two terabytes of customer data to a personal Dropbox for weeks.,"Strong counter: Data Exfiltration, Insider Threat. Little value against threats that do not move data outside the network."
DNS Monitoring,1,Monitoring,Reveal suspicious domain activity,Monitor DNS requests,0,0,0,0,0,0,0,0,Flags suspicious outbound addresses automatically. Cheap and reliable. Attackers love DNS because it usually goes unnoticed; this card closes that blind spot.,Air-gapped government network: attackers tunnelled stolen data out one tiny piece at a time hidden inside routine DNS requests.,"Strong counter: Malware, Data Exfiltration. Cheap and reliable. Closes the blind spot that most attackers rely on."
Multi-Factor Authentication,2,Hardening,Reduce future breach progress,Require an additional verification step before access is granted.,0.50,0,0,0,0,0,0.25,0,"Second lock on every door. Even with a stolen password, attackers can't get in without the user's device. Best against Credential Abuse and Phishing. Useless once attackers are already inside.",Colonial Pipeline (2021): started with a single stolen VPN password on an account with no MFA. One extra step would have stopped it.,"Strong counter: Credential Abuse, Phishing. No value once the attacker is already inside the network."
Patch Management,2,Hardening,Reduce future breach progress,Apply security updates to systems and software.,0,0.25,0.25,0,0,0,0,0.50,"Applies security fixes as they're released, closing known weaknesses before attackers find them. Most breaches exploit vulnerabilities that already had patches. Strong against Malware, Ransomware, and Web Application Attacks.","WannaCry (2017): infected 200,000 machines in 150 countries. Every patched machine was completely safe. The patch had been available for two months.","Strong counter: Malware, Ransomware, Web Application Attack. Most breaches exploit vulnerabilities that already had a patch available."
Least Privilege,2,Hardening,Reduce future breach progress,Limit access to only what is necessary for a role.,0,0,0,0.50,0.25,0,0,0,Limits every account to only what it needs. A compromised account stays stuck in one corner instead of having run of the building. Best against Insider Threats and Data Exfiltration.,"Twitter hack (2020): attackers got into admin tools but access restrictions limited them to a subset of accounts, not the whole platform.","Strong counter: Insider Threat, Data Exfiltration. Limits blast radius - a compromised account can only damage what it could already reach."
Password Policy,1,Hardening,Reduce future breach progress,Require stronger passwords and safer password practices.,0.25,0,0,0,0,0,0.10,0,"Enforces strong, complex passwords across all accounts. Modest on its own but stacks well with MFA. Useful against Credential Abuse and Phishing.","LinkedIn (2012): 6.5 million leaked password hashes cracked almost immediately because most users chose simple, predictable passwords.","Effective: Credential Abuse, Phishing. Modest on its own - stack it with MFA for a real barrier."
Application Whitelisting,2,Hardening,Reduce future breach progress,Allow only approved applications to run.,0,0.50,0.50,0,0,0,0,0,Only pre-approved programs can run. Anything unknown is blocked outright before it executes. Extremely effective against Malware and Ransomware. Low value against threats that don't run new code.,Australian Signals Directorate rates application whitelisting as the single most effective defence against targeted attacks.,"Strong counter: Malware, Ransomware. Limited value against threats that do not rely on executing unknown code."
Secure Configuration,2,Hardening,Reduce future breach progress,Apply recommended security settings to systems and services.,0,0.10,0.10,0.10,0.10,0,0,0.25,"Removes default passwords, closes unused ports, disables unneeded features. Attackers know exactly where insecure defaults are. Broadly useful with no major weakness across five threat types.",Capital One (2019): 100 million records exposed because a cloud bucket was left publicly accessible by mistake. Not a sophisticated attack.,"Effective: Malware, Ransomware, Insider Threat, Data Exfiltration, Web Application Attack. One of the broadest hardening cards - closes the easy doors attackers check first."
Security Awareness Training,2,Hardening,Reduce future breach progress,Teach users to recognize suspicious activity and common scams.,0,0,0,0.10,0.10,0,0.50,0,Teaches staff to spot fake emails and social engineering. A trained employee who doesn't click is worth more than most security tools. Strong against Phishing and Insider Threats. Useless against technical attacks.,Fortune 500 company: phishing simulation click rates dropped from 28% to 4% through training alone.,"Strong counter: Phishing, Insider Threat. No value against purely technical attacks that bypass human behaviour entirely."
Web Application Firewall,2,Hardening,Reduce future breach progress,Filter and inspect web traffic before it reaches applications.,0,0,0,0,0,0.25,0,0.50,"Filters incoming web traffic before it reaches the application, blocking attack-shaped requests. Strong against Web Application Attacks and DDoS. No help against credential theft or internal threats.",Log4Shell (2021): WAF rules deployed within hours blocked the first wave of attacks while teams rushed to apply the actual patch.,"Strong counter: Web Application Attack, DDoS Attack. No value against credential theft or threats that originate inside the network."
Host Isolation,2,Response,Gain 20 Containment,Disconnect an affected device from the network,0.5,1,1,0.5,1,0,0.5,0.5,"Cuts an infected machine off from the network entirely. Stops it spreading or communicating with the attacker. Use the moment you confirm the threat; the earlier you isolate, the less damage spreads.","NotPetya (2017): Maersk contained the spread by isolating infected machines before it reached their entire global fleet, limiting a $10B attack.","Strong counter: Malware, Ransomware, Data Exfiltration. Effective: Credential Abuse, Insider Threat, Phishing, Web Application Attack. Use the moment you confirm the threat - every turn of delay lets it spread further."
Disable Account,1,Response,Gain 15 Containment,Prevent use of a compromised account,1,0.5,0.5,1,0.75,0,1,0,"Locks a compromised account immediately so the attacker can't use it. Best value containment card against Credential Abuse, Phishing, and Insider Threats. Useless against network-level attacks like DDoS.",SolarWinds investigation: Microsoft cut off attacker access immediately by disabling a single compromised internal service account.,"Strong counter: Credential Abuse, Insider Threat, Phishing. Effective: Malware, Ransomware, Data Exfiltration. No value against DDoS or Web Application Attacks - there is no account to lock."
Password Reset,1,Response,Gain 15 Containment,Force creation of a new password,1,0,0,0.75,0.5,0,1,0,Forces all affected accounts to create new passwords. Even a memorised password stops working the moment the reset goes through. Top counter to Credential Abuse and Phishing. Does almost nothing against Malware or Ransomware.,Yahoo (2016): mass resets issued after 3 billion credentials were stolen to stop attackers continuing to log in with leaked details.,"Strong counter: Credential Abuse, Phishing. Effective: Insider Threat, Data Exfiltration. Near-useless against Malware, Ransomware, DDoS, or Web Application Attacks."
Block IP Address,1,Response,Gain 10 Containment,Block a suspicious network source,0.5,0.75,0.75,0.5,1,1,0.5,1,"Drops all connections from a specific address. Fast and blunt. Strong against DDoS, Data Exfiltration, and Web Application Attacks coming from outside. Useless against Insider Threats already inside the network.","Dyn DDoS (2016): IP blocking was the first defensive action as teams tried to separate botnet traffic from real users. Took Twitter, Netflix, Reddit offline.","Strong counter: DDoS Attack, Data Exfiltration, Web Application Attack. No value against Insider Threats - the attacker is already inside and has no external address to block."
Access Revocation,2,Response,Gain 20 Containment,Remove unnecessary permissions,1,0.5,0.5,1,1,0,0.5,0.5,"Strips all permissions across every system, not just locking an account. Guarantees someone can't reach anything, anywhere. Strongest against Insider Threats, Credential Abuse, and Data Exfiltration.",Target (2014): the breach began through a third-party HVAC contractor's credentials. Revoking that vendor's access after their work was done would have prevented everything.,"Strong counter: Credential Abuse, Insider Threat, Data Exfiltration. Effective: Malware, Ransomware, Phishing, Web Application Attack. The nuclear option for access-based threats."
Session Termination,1,Response,Gain 15 Containment,End active user sessions,1,0,0,1,0.75,0,1,0,"Logs everyone out everywhere at once. Anyone riding a hijacked session is immediately kicked and has to start from scratch. Cheap for 15 containment. Best against Credential Abuse, Insider Threats, and Phishing.",Okta breach (2022): forcing a global logout of all active tokens was a key step in stopping the compromise from spreading further.,"Strong counter: Credential Abuse, Insider Threat, Phishing. Effective: Data Exfiltration. No value against Malware, Ransomware, or DDoS - those threats do not rely on active sessions."
Emergency Firewall Rule,2,Response,Gain 20 Containment,Temporarily block malicious traffic,0.5,0.75,0.75,0,1,1,0.5,1,"Adds a targeted rule to the security gateway to block a specific active threat. Not a permanent fix, but buys critical time. High containment against DDoS, Data Exfiltration, and Web Application Attacks.",Microsoft Exchange (2021): emergency rules blocked attacker remote-control traffic within hours while a patch was being prepared.,"Strong counter: DDoS Attack, Data Exfiltration, Web Application Attack. Effective: Credential Abuse, Malware, Ransomware, Phishing. Not a permanent fix - buys time while you find the real solution."
Quarantine File,1,Response,Gain 15 Containment,Prevent a suspicious file from executing,0,1,1,0,0,0,0.5,0,"Seals a suspicious file so it can't run, copy, or communicate. Best early move against Malware and Ransomware. Keeps the file available for investigation. Nothing to quarantine against credential or traffic attacks.",NHS trust (2020): automatic quarantine caught an Emotet-laced Word document before any staff member had a chance to open it.,"Strong counter: Malware, Ransomware. Effective: Phishing. No value against Credential Abuse, Insider Threat, DDoS, or Web Application Attacks - there is no malicious file to isolate."
Network Segmentation,3,Response,Gain 25 Containment and reduce Breach by 10,Separate systems into security zones,0.5,1,1,0.5,1,0.5,0.5,1,Splits the network into isolated zones so an attacker in one section can't reach others. Most expensive Response card but highest containment burst plus direct breach reduction. Lethal against spread-based threats.,European bank: ransomware hit the ATM network but segmentation held the wall. Core banking systems were never reached.,"Strong counter: Malware, Ransomware, Data Exfiltration, Web Application Attack. Effective: Credential Abuse, Insider Threat, DDoS Attack, Phishing. The most expensive Response card - save it for spread-based threats where containment burst matters most."
Revoke Tokens,1,Response,Gain 15 Containment,Invalidate active authentication tokens,1,0,0,1,0.75,0,1,0,Cancels all active authentication tokens. Any stolen or forged pass becomes worthless instantly. Same containment as Disable Account at lower cost. Best when the attacker is riding a token rather than a password.,Storm-0558 (2023): Chinese intelligence group caught forging Azure tokens to access US government accounts. Token revocation across all tenants was the immediate response.,"Strong counter: Credential Abuse, Insider Threat, Phishing. Effective: Data Exfiltration. No value against Malware, Ransomware, or DDoS - those threats do not use authentication tokens."
Application Shutdown,2,Response,Gain 20 Containment,Temporarily stop a compromised service,0.75,1,1,0.5,0.75,0.5,0,1,"Takes a vulnerable application offline. Accepts disruption now to prevent worse damage later. Strong against Malware, Ransomware, and Web Application Attacks when a patch isn't ready yet.",Log4Shell (2021): organisations that couldn't patch immediately took exposed servers fully offline to eliminate the attack surface.,"Strong counter: Malware, Ransomware, Web Application Attack. Effective: Credential Abuse, Insider Threat, Data Exfiltration, DDoS Attack. Last resort when you cannot patch - accepts disruption to stop further damage."
Remote Access Suspension,2,Response,Gain 20 Containment,Suspend remote access channels,1,0.5,0.5,0.75,1,0,0.75,0.5,"Shuts off all VPNs, remote desktops, and external portals. Anyone connecting from outside, including the attacker, is immediately locked out. Best against Credential Abuse and Data Exfiltration where the attacker is operating remotely.","Colonial Pipeline (2021): VPN suspension was the very first containment action taken, preventing attackers from doing anything further remotely.","Strong counter: Credential Abuse, Data Exfiltration. Effective: Malware, Ransomware, Insider Threat, Phishing, Web Application Attack. No value against DDoS - blocking remote access does nothing to stop a traffic flood."
Backup Recovery,3,Recovery,Restore 30 Integrity,Recover systems from backups,0,0.75,1,0,0.5,0,0,0,"Restores the entire system from a clean backup. Highest integrity restore in the game. Only works if backups were kept separate and the attacker didn't reach them. Win condition against Ransomware: contain first, then recover without paying.",WannaCry (2017): orgs with offline backups fully recovered at no cost. Those without backups had one choice: pay up or lose everything.,"Strong counter: Ransomware. Effective: Malware, Data Exfiltration. The win condition against Ransomware - contain the spread first, then restore without paying."
System Restore,2,Recovery,Restore 20 Integrity,Return systems to a previous state,0,1,1,0,0,0,0,0.5,"Rolls the system back to an earlier saved state, erasing everything the attacker did after that point. Best against Malware and Ransomware where damage is to files and system state. Rolling back doesn't help against credential or network attacks.",UK hospital chain: 80% of ransomware-encrypted systems recovered within 72 hours by restoring from the previous week's restore points.,"Strong counter: Malware, Ransomware. Effective: Web Application Attack. No value against Credential Abuse, Insider Threat, DDoS, or Phishing - rolling back system state does not undo stolen access or credentials."
Credential Recovery,1,Recovery,Restore 15 Integrity,Recover compromised accounts,1,0,0,0.75,0.5,0,1,0,Guides users through safely regaining account access after credentials were stolen or corrupted. Cheap and fast. The right recovery card when Credential Abuse or Phishing is the core problem.,Uber (2016): emergency recovery procedures helped tens of millions of users regain safe access after 57 million accounts were exposed.,"Strong counter: Credential Abuse, Phishing. Effective: Insider Threat, Data Exfiltration. Near-useless against Malware, Ransomware, or DDoS - recovering passwords does not fix file damage or traffic floods."
Configuration Rollback,2,Recovery,Restore 20 Integrity,Revert security settings to a safe state,0.75,0.75,0.75,1,0.75,0,0.5,1,Reverts settings to a previous known-safe state. Sometimes the breach isn't a clever exploit; it's a misconfiguration that left a door open. Best against Insider Threat mistakes and Web Application Attacks built on config weaknesses.,Capital One (2019): a single misconfigured cloud policy exposed 100 million records. Rolling back that one change would have closed the door instantly.,"Strong counter: Insider Threat, Web Application Attack. Effective: Credential Abuse, Malware, Ransomware, Data Exfiltration, Phishing. Best when the breach was caused by a bad configuration rather than a sophisticated exploit."
Data Recovery,3,Recovery,Restore 25 Integrity,Recover lost or deleted information,0,0.75,1,0.5,1,0,0,0,"Retrieves encrypted, deleted, or stolen files using forensic tools to find copies the attacker missed. Expensive but the highest integrity restore against Ransomware and Data Exfiltration. Reach for this late-game when damage is already done.",Law firm hit by Ryuk ransomware: forensic experts recovered 95% of encrypted files from shadow volume copies the attackers failed to delete.,"Strong counter: Ransomware, Data Exfiltration. Effective: Malware, Insider Threat. Late-game card - reach for it when the damage is already done and you need to claw back integrity."
Rebuild Endpoint,2,Recovery,Restore 20 Integrity,Reinstall and reconfigure a compromised device,0,1,1,0,0,0,0,0.5,"Wipes an infected machine and reinstalls everything from scratch. The only way to guarantee every tool, backdoor, and hidden file is gone. Best against Malware where partial cleaning leaves remnants that reactivate.",SolarWinds (2020): US government agencies were told to fully rebuild affected machines rather than clean them. Partial cleaning left too much uncertainty.,"Strong counter: Malware, Ransomware. Effective: Web Application Attack. The only guaranteed way to remove a deeply embedded threat - partial cleaning risks leaving something behind."
Service Restoration,2,Recovery,Restore 15 Integrity,Bring affected services back online,0.5,0.75,0.75,0.5,0.75,1,0,0.75,"Brings knocked-offline systems back up. Fast integrity recovery after a DDoS. Once the flood is contained, this gets you back to normal. Little value against data-focused attacks where restoring services doesn't undo a theft.",AWS DDoS (2020): Shield team restored all affected services within four hours across multiple global data centres.,Strong counter: DDoS Attack. Use it once the flood is contained - restoring services does not undo stolen data or compromised credentials.
Recovery Validation,1,Recovery,Gain 10 Integrity and draw 1 card,Verify that recovery actions succeeded,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,"Verifies the attacker is truly gone after recovery. Assuming you're clean can be as dangerous as the attack itself. Restores integrity, draws a card, and is worth playing after any threat type.",Hospital (2022): post-recovery scans found the original malware still active on 40% of systems that had been declared clean.,Useful after any threat type. Never assume you are clean - verify it. The extra card draw makes this worth playing even late in a battle.
SOAR Playbook,3,Automation,Automatically play a random Response card,Automate common incident response actions,0,0,0,0,0,0,0,0,Pre-built automated emergency plan that fires the moment a threat is confirmed. Plays a random Response card for free. High variance but powerful in response-heavy decks against any threat type.,Fortune 100 company: SOAR playbooks cut average incident response time from four hours to eight minutes.,Useful against all threat types. High variance - you do not choose which Response card fires. Stronger in decks built around Response cards.
Automatic Account Lockout,2,Automation,Automatically respond to suspicious login activity,Lock accounts after repeated failed logins,0,0,0,0,0,0,0,0,Locks any account that hits too many failed login attempts automatically. Shuts down brute-force attacks with no human input required. Strong passive defence against Credential Abuse and Phishing.,Microsoft Exchange attack wave (2021): automatic lockout blocked the vast majority of brute-force attempts without a single analyst acting.,"Strong counter: Credential Abuse, Phishing. Passive - requires no action from you once played. Limited value against threats that do not involve login attempts."
Automated IOC Blocking,2,Automation,Automatically block known malicious indicators,Reduce manual response effort,0,0,0,0,0,0,0,0,"Blocks known malicious addresses, files, and signatures the instant they're recognised. No human decision required. Consistent passive containment that reduces load on your Response cards every turn.",Major global bank (2022): automated systems were blocking over two million malicious connection attempts per day throughout a sustained attack campaign.,Effective against all threat types. Passive containment every turn - reduces the pressure on your Response cards throughout a long battle.
Scheduled Scan,1,Automation,Reveal 1 Clue at the start of turn,Run routine security scans automatically,0,0,0,0,0,0,0,0,"Regular automated check-ups that run whether anyone asks for them or not. Low cost, reliable against all threat types. Play early for a free clue at the start of every turn.",Equifax (2017): scheduled scans failed to flag a critical Apache Struts flaw for 78 days. Attackers used that window to steal 147 million Americans' data.,"Useful against all threat types. Cheap, reliable, and compounds over time. Play it early."
Automated Malware Scan,2,Automation,Reveal 1 Clue and gain 5 Containment,Automatically detect malicious software,0,0,0,0,0,0,0,0,Scans every incoming file for known malware before anyone can open it. A clue and containment for two energy. Especially strong against Malware and Ransomware where catching the file on arrival is far cheaper than containing it after it runs.,Major law firm (2021): automated email scanner blocked thousands of malware-laced attachments daily throughout a sustained campaign.,"Strong counter: Malware, Ransomware. Effective: Phishing. Catching the file on arrival is far cheaper than containing it after it has already run."
Auto Patch Deployment,2,Automation,Apply Patch Management automatically,Deploy security updates without manual intervention,0,0,0,0,0,0,0,0,Installs security fixes the moment they're released. Closes the gap between a fix existing and it actually being in place. That gap is where most breaches happen. Automatically plays Patch Management for you.,Verizon DBIR (2022): automatically patching within 24 hours of release would have prevented roughly 60% of all major breaches studied.,"Strong counter: Malware, Ransomware, Web Application Attack. The gap between a patch being released and it being applied is where most breaches happen - this closes it automatically."
Threat Feed Automation,1,Automation,Threat Intelligence cards cost 1 less energy,Automatically import threat intelligence updates,0,0,0,0,0,0,0,0,Pulls global attack intelligence and updates defences in real time. Reduces all Intelligence card costs by 1. Strong enabler in investigation-heavy decks against any threat type.,US-CERT automated STIX/TAXII sharing enabled real-time attack indicator distribution to over 300 government agencies simultaneously.,"Useful against all threat types. Multiplies the value of every Intelligence card in your deck - the more investigation-heavy your build, the stronger this gets."
Automated Ticket Creation,1,Automation,Draw 1 card when a clue is revealed,Automatically document incidents and alerts,0,0,0,0,0,0,0,0,Logs every alert as a formal case automatically so nothing gets buried in noise. Draws a card every time a clue is revealed. Chains powerfully in investigation-heavy decks.,Major telecoms company: automating ticket creation reduced analyst burnout by 70%. Every alert became a tracked case instead of a notification lost in the next thousand.,"Useful against all threat types. Chains powerfully with Investigation cards and any card that reveals clues. The more clues you generate, the more cards you draw."
Zero Trust Architecture,4,Rare,Reduce all Breach gain by 25%,Never trust always verify,0,0,0,0,0,0,0,0,Redesigns the entire trust model: every user and device must continuously prove identity for every action. Nobody gets permanent trust. Reduces all breach gain by 25% for the rest of the game. Best card in the shop.,"After SolarWinds and Colonial Pipeline, Biden's 2021 Executive Order mandated Zero Trust for all US federal agencies as a matter of national security.",Strong counter: all threat types. Reduces every source of breach gain by 25% for the rest of the game. Play it the moment you can afford it.
Managed Detection and Response,4,Rare,Gain 1 Clue and 5 Containment every turn,External experts assist in detection and response,0,0,0,0,0,0,0,0,"External security team watching your systems 24/7. Detects, investigates, and acts without being asked. Generates a clue and containment every single turn against any threat. Dominant in long battles; play as early as possible.","Mid-sized US hospital: MDR detected and contained a Ryuk ransomware attack in under two hours. No ransom paid, no data lost.","Strong counter: all threat types. Generates a clue and containment every single turn. The longer the battle runs, the more dominant this becomes."
Purple Team Exercise,3,Rare,Upgrade all Investigation cards for this incident,Improve collaboration between offense and defense,0,0,0,0,0,0,0,0,"Attack and defence teams drill side by side, adjusting detection in real time. Permanently upgrades every Investigation card for the whole incident. Transforms an average deck into a powerhouse.",US defence contractor: purple team exercises pushed simulated attack detection rates from 34% to 91% in a single quarter.,"Useful against all threat types. Permanently upgrades every Investigation card for the rest of the incident. The more Investigation cards in your deck, the greater the payoff."
Threat Intelligence Partnership,3,Rare,All Investigation cards reveal +1 additional Clue,Receive intelligence from trusted partners,0,0,0,0,0,0,0,0,Formal intelligence-sharing agreement with other organisations. Every Investigation card reveals one extra clue permanently. Gamebreaking in investigation-focused decks against any threat type.,FS-ISAC (2022): 40 banks simultaneously blocked the same nation-state attack indicators within one hour of the first detection.,Useful against all threat types. Every Investigation card reveals one extra clue permanently. Stack it with Threat Intelligence Feed for compounding returns.
SOC Expansion,4,Rare,Gain 1 Energy each turn,Expand analyst capacity and security operations,0,0,0,0,0,0,0,0,"Grows your security operations team: more analysts, more tools, around-the-clock coverage. Gives one extra energy every turn. Compounds massively in long battles. More energy means more cards and faster response.",Amazon SOC: detected and began responding to a record-breaking DDoS event within four minutes of onset.,Useful against all threat types. One extra energy every turn compounds into a massive advantage over a long battle. Play it early.
